Collection,Congressional Reports
SuDoc Class Number,Y 1.1/8:
Publisher,U.S. Government Publishing Office
Report Type,House Report
Report Number,H. Rept. 104-796
Date,"September 17, 1996"
Associated Legislation,H.J. Res. 191
Committee,Committee on the Judiciary
Action,Referred to the House Calendar and ordered to be printed
Recommendation,"The Committee on the Judiciary, to whom was referred the joint resolution (H.J. Res. 191) to confer honorary citizenship of the United States on Agnes Gonxha Bojaxhiu, also known as Mother Teresa, having considered the same, report favorably thereon without amendment and recommend that the joint resolution do pass."
