Collection,Congressional Reports
SuDoc Class Number,Y 1.1/8:
Publisher,U.S. Government Publishing Office
Report Type,House Report
Report Number,H. Rept. 104-805
Date,"September 17, 1996"
Associated Legislation,H. Con. Res. 200
Committee,Committee on National Security
Action,Ordered to be printed
Recommendation,"The Committee on National Security, to whom was referred the concurrent resolution (H. Con. Res. 200) expressing the sense of the Congress regarding the bombing in Dhahran, Saudi Arabia, having considered the same, report favorably thereon with amendments and recommend that the concurrent resolution be agreed to."
