Collection,Congressional Reports
SuDoc Class Number,Y 1.1/5:
Publisher,U.S. Government Publishing Office
Report Type,Senate Report
Report Number,S. Rept. 104-381
Date,"September 30, 1996"
Associated Legislation,S. 1699
Committee,Committee on Energy and Natural Resources
Calendar,605
Action,Ordered to be printed
Recommendation,"The Committee on Energy and Natural Resources, to which was referred the bill (S. 1699) to establish the National Cave and Karst Research Institute in the State of New Mexico, and for other purposes, having considered the same, reports favorably thereon without amendment and recommends that the bill do pass."
