Collection,Congressional Reports
SuDoc Class Number,Y 1.1/8:
Publisher,U.S. Government Publishing Office
Report Type,House Report
Report Subtype,Conference Report
Report Number,H. Rept. 104-841
Date,"September 25, 1996"
Associated Legislation,H.R. 2977
Action,Ordered to be printed
