Collection,Congressional Reports
SuDoc Class Number,Y 1.1/5:
Publisher,U.S. Government Publishing Office
Report Type,Senate Report
Report Number,S. Rept. 104-373
Date,"September 30, 1996"
Associated Legislation,S. 1420
Committee,"Committee on Commerce, Science, and Transportation"
Calendar,637
Action,Ordered to be printed
Recommendation,"The Committee on Commerce, Science, and Transportation, to which was referred the bill (S. 1420) to amend the Marine Mammal Protection Act of 1972 to support the International Dolphin Conservation Program in the eastern tropical Pacific Ocean, and for other purposes, having considered the same, reports favorably thereon with amendments and recommends that the bill as amended do pass."
