Collection,Congressional Reports
SuDoc Class Number,Y 1.1/5:
Publisher,U.S. Government Publishing Office
Report Type,Senate Report
Report Number,S. Rept. 104-360
Date,"September 3, 1996"
Associated Legislation,S. 1893
Committee,Committee on Indian Affairs
Calendar,572
Action,Ordered to be printed
Recommendation,"The Committee on Indian Affairs, to which was referred the bill (S. 1893) to provide for the settlement of issues and claims related to the trust lands of the Torres-Martinez Desert Cahuilla Indians, and for other purposes, having considered the same, reports favorably thereon without amendment and recommends that the bill do pass."
