Collection,Congressional Reports
SuDoc Class Number,Y 1.1/8:
Publisher,U.S. Government Publishing Office
Report Type,House Report
Report Number,H. Rept. 104-719
Date,"July 30, 1996"
Associated Legislation,H.R. 3867
Committee,Committee on Commerce
Action,Committed to the Committee of the Whole House on the State of the Union and ordered to be printed
Recommendation,"The Committee on Commerce, to whom was referred the bill (H.R. 3867) to amend the Developmental Disabilities Assistance and Bill of Rights Act to extend the Act, and for other purposes, having considered the same, report favorably thereon without amendment and recommend that the bill do pass."
