Collection,Congressional Reports
SuDoc Class Number,Y 1.1/5:
Publisher,U.S. Government Publishing Office
Report Type,Senate Report
Report Number,S. Rept. 104-377
Date,"September 30, 1996"
Associated Legislation,S. 902
Committee,Committee on Energy and Natural Resources
Calendar,601
Action,Ordered to be printed
Recommendation,"The Committee on Energy and Natural Resources, to which was referred the bill (S. 902) to amend Public Law 100-479 to authorize the Secretary of the Interior to assist in the construction of a building to be used jointly by the Secretary for park purposes and by the city of Natchez as an intermodal transportation center, and for other purposes, having considered the same, reports favorably thereon with amendments and recommends that the bill, as amended, do pass."
