Collection,Congressional Reports
SuDoc Class Number,Y 1.1/5:
Publisher,U.S. Government Publishing Office
Report Type,Senate Report
Report Number,S. Rept. 104-392
Date,"September 30, 1996"
Associated Legislation,S. 1221
Committee,Committee on Labor and Human Resources
Calendar,638
Action,Ordered to be printed
Recommendation,"The Committee on Labor and Human Resources, to which was referred the bill (S. 1221) to authorize appropriations for the Legal Services Corporation Act, and for other purposes, having considered the same, reports favorably thereon with an amendment and recommends that the bill as amended do pass."
