Collection,Congressional Reports
SuDoc Class Number,Y 1.1/6:
Publisher,U.S. Government Publishing Office
Report Type,Senate Executive Report
Report Number,Ex. Rept. 104-30
Date,"July 30, 1996"
Associated Legislation,Treaty Doc. 104-26
Committee,Committee on Foreign Relations
Action,Ordered to be printed
Recommendation,"The Committee on Foreign Relations to which was referred the Extradition Treaty Between the Government of the United States of America and the Government of Malaysia, and a Related Exchange of Notes signed at Kuala Lumpur on August 3, 1995, having considered the same, reports favorably thereon with one proviso and recommends that the Senate give its advice and consent to the ratification thereof as set forth in this report and the accompanying resolution of ratification."
