Collection,Congressional Reports
SuDoc Class Number,Y 1.1/8:
Publisher,U.S. Government Publishing Office
Report Type,House Report
Report Number,"H. Rept. 104-867, Part 1"
Date,"October 11, 1996"
Associated Legislation,H.R. 2041
Committee,Committee on Resources
Action,Ordered to be printed
Recommendation,"The Committee on Resources, to whom was referred the bill (H.R. 2041) to amend the Organic Act of Guam to provide restitution to the people of Guam who suffered atrocities such as personal injury, forced labor, forced marches, internment, and death during the occupation of Guam in World War II, and for other purposes, having considered the same, report favorably thereon with an amendment and recommend that the bill as amended do pass."
