Collection,Congressional Reports
SuDoc Class Number,Y 1.1/8:
Publisher,U.S. Government Publishing Office
Report Type,House Report
Report Number,H. Rept. 104-787
Date,"September 16, 1996"
Associated Legislation,H.R. 3676
Committee,Committee on the Judiciary
Action,Committed to the Committee of the Whole House on the State of the Union and ordered to be printed
Recommendation,"The Committee on the Judiciary, to whom was referred the bill (H.R. 3676) to amend title 18, United States Code, clarify the intent of Congress with respect to the Federal carjacking prohibition, having considered the same, report favorably thereon with an amendment and recommend that the bill as amended do pass."
