Collection,Congressional Reports
SuDoc Class Number,Y 1.1/8:
Publisher,U.S. Government Publishing Office
Report Type,House Report
Report Subtype,Conference Report
Report Number,H. Rept. 104-721
Date,"July 30, 1996"
Associated Legislation,H.R. 3517
Action,Ordered to be printed
