Collection,Congressional Reports
SuDoc Class Number,Y 1.1/8:
Publisher,U.S. Government Publishing Office
Report Type,House Report
Report Number,"H. Rept. 104-801, Part 1"
Date,"September 17, 1996"
Associated Legislation,H.R. 3936
Committee,Committee on Science
Action,Committed to the Committee of the Whole House on the State of the Union and ordered to be printed
Recommendation,"The Committee on Science, to whom was referred the bill (H.R. 3936) to encourage the development of a commercial space industry in the United States, and for other purposes, having considered the same, reports favorably thereon with an amendment and recommends that the bill as amended do pass."
