Collection,Congressional Reports
SuDoc Class Number,Y 1.1/8:
Publisher,U.S. Government Publishing Office
Report Type,House Report
Report Number,H. Rept. 104-789
Date,"September 16, 1996"
Associated Legislation,S. 1507
Committee,Committee on the Judiciary
Action,Committed to the Committee of the Whole House on the State of the Union and ordered to be printed
Recommendation,"The Committee on the Judiciary, to whom was referred the Act (S. 1507) to provide for the extension of the Parole Commission to oversee cases of prisoners sentenced under prior law, to reduce the size of the Parole Commission, and for other purposes, having considered the same, report favorably thereon with an amendment and recommend that the Act as amended do pass."
