Collection,Congressional Reports
SuDoc Class Number,Y 1.1/8:
Publisher,U.S. Government Publishing Office
Report Type,House Report
Report Number,H. Rept. 104-846
Date,"September 26, 1996"
Associated Legislation,H.R. 3874
Committee,Committee on the Judiciary
Action,Committed to the Committee of the Whole House on the State of the Union and ordered to be printed
Recommendation,"The Committee on the Judiciary, to whom was referred the bill (H.R. 3874) to reauthorize the United States Commission on Civil Rights, and for other purposes, having considered the same, report favorably thereon with amendments and recommend that the bill as amended do pass."
