Collection,Congressional Reports
SuDoc Class Number,Y 1.1/8:
Publisher,U.S. Government Publishing Office
Report Type,House Report
Report Number,H. Rept. 104-764
Date,"September 4, 1996"
Associated Legislation,H.R. 2518
Committee,Committee on Resources
Action,Committed to the Committee of the Whole House on the State of the Union and ordered to be printed
Recommendation,"The Committee on Resources, to whom was referred the bill (H.R. 2518) to authorize the Secretary of Agriculture to exchange certain lands in the Wenatachee National Forest, Washington, for certain lands owned by Public Utility District No. 1 of Chelan County, Washington, and for other purposes, having considered the same, report favorably thereon with an amendment and recommend that the bill as amended do pass."
