Collection,Congressional Reports
SuDoc Class Number,Y 1.1/8:
Publisher,U.S. Government Publishing Office
Report Type,House Report
Report Number,H. Rept. 104-775
Date,"September 5, 1996"
Associated Legislation,H.R. 3863
Committee,Committee on Economic and Educational Opportunities
Action,Committed to the Committee of the Whole House on the State of the Union and ordered to be printed
Recommendation,"The Committee on Economic and Educational Opportunities, to whom was referred the bill (H.R. 3863) to amend the Higher Education Act of 1965 to permit lenders under the unsubsidized Federal Family Education Loan program to pay origination fees on behalf of borrowers, having considered the same, report favorably thereon with amendments and recommend that the bill as amended do pass."
