Collection,Congressional Reports
SuDoc Class Number,Y 1.1/8:
Publisher,U.S. Government Publishing Office
Report Type,House Report
Report Number,H. Rept. 104-722
Date,"July 30, 1996"
Associated Legislation,H.R. 3759
Committee,Committee on International Relations
Action,Committed to the Committee of the Whole House on the State of the Union and ordered to be printed
Recommendation,"The Committee on International Relations, to whom was referred the bill (H.R. 3759) to extend the authority of the Overseas Private Investment Corporation, and for other purposes, having considered the same, report favorably thereon with an amendment and recommend that the bill as amended do pass."
