Collection,Congressional Reports
SuDoc Class Number,Y 1.1/8:
Publisher,U.S. Government Publishing Office
Report Type,House Report
Report Number,H. Rept. 104-811
Date,"September 20, 1996"
Associated Legislation,H.R. 1087
Committee,Committee on the Judiciary
Action,Committed to the Committee of the Whole House and ordered to be printed
Recommendation,"The Committee on the Judiciary, to whom was referred the bill (H.R. 1087) for the relief of Nguyen Quy An and Nguyen Ngoc Kim Quy, having considered the same, report favorably thereon with amendments and recommend that the bill as amended do pass."
