Collection,Congressional Reports
SuDoc Class Number,Y 1.1/8:
Publisher,U.S. Government Publishing Office
Report Type,House Report
Report Number,H. Rept. 104-858
Date,"September 27, 1996"
Committee,Committee on Government Reform and Oversight
Calendar,465
Action,Committed to the Committee of the Whole House on the State of the Union and ordered to be printed
