Collection,Congressional Reports
SuDoc Class Number,Y 1.1/8:
Publisher,U.S. Government Publishing Office
Report Type,House Report
Report Number,H. Rept. 104-847
Date,"September 26, 1996"
Associated Legislation,H.R. 2086
Committee,Committee on Government Reform and Oversight
Action,Committed to the Committee of the Whole House on the State of the Union and ordered to be printed
Recommendation,"The Committee on Government Reform and Oversight, to whom was referred the bill (H.R. 2086) to increase the overall economy and efficiency of Government operations and enable more efficient use of Federal funding, by enabling local governments and private, nonprofit organizations to use amounts available under certain Federal assistance programs in accordance with approved local flexibility plans, having considered the same, report favorably thereon with an amendment and recommend that the bill as amended do pass."
