Collection,Congressional Reports
SuDoc Class Number,Y 1.1/5:
Publisher,U.S. Government Publishing Office
Report Type,Senate Report
Report Number,S. Rept. 104-395
Date,"October 1, 1996"
Associated Legislation,H.R. 3198
Committee,Committee on Energy and Natural Resources
Calendar,597
Action,Ordered to be printed
Recommendation,"The Committee on Energy and Natural Resources, to which was referred the Act (H.R. 3198) to reauthorize and amend the National Geologic Mapping Act of 1992, and for other purposes, having considered the same, reports favorably thereon without amendment and recommends that the Act do pass."
