Collection,Congressional Reports
SuDoc Class Number,Y 1.1/8:
Publisher,U.S. Government Publishing Office
Report Type,House Report
Report Number,H. Rept. 104-757
Date,"September 4, 1996"
Associated Legislation,H.R. 2107
Committee,Committee on Resources
Action,Committed to the Committee of the Whole House on the State of the Union and ordered to be printed
Recommendation,"The Committee on Resources, to whom was referred the bill (H.R. 2107) to amend the Land and Water Conservation Fund Act of 1965 to improve the quality of visitor services provided by Federal land management agencies through an incentive-based recreation fee program, and for other purposes, having considered the same, report favorably thereon with an amendment and recommend that the bill as amended do pass."
