Collection,Congressional Reports
SuDoc Class Number,Y 1.1/5:
Publisher,U.S. Government Publishing Office
Report Type,Senate Report
Report Number,S. Rept. 104-371
Date,"September 24, 1996"
Associated Legislation,S. 1711
Committee,Committee on Veterans' Affairs
Calendar,625
Action,Ordered to be printed
Recommendation,"The Committee on Veterans' Affairs, to which was referred the bill (S. 1711) to establish a Commission to evaluate the programs of the Federal Government that assist members of the Armed Forces and veterans in readjusting to civilian life, and for other purposes, having considered the same, reports favorably thereon with an amendment in the form of a substitute and an amendment to the title, and recommends that the bill as amended do pass."
