Collection,Congressional Reports
SuDoc Class Number,Y 1.1/8:
Publisher,U.S. Government Publishing Office
Report Type,House Report
Report Number,H. Rept. 104-727
Date,"July 31, 1996"
Committee,Committee on Appropriations
Calendar,388
Action,Committed to the Committee of the Whole House on the State of the Union and ordered to be printed
