Collection,Congressional Reports
SuDoc Class Number,Y 1.1/8:
Publisher,U.S. Government Publishing Office
Report Type,House Report
Report Number,H. Rept. 104-792
Date,"September 17, 1996"
Associated Legislation,H.R. 3348
Committee,Committee on Transportation and Infrastructure
Action,Committed to the Committee of the Whole House on the State of the Union and ordered to be printed
Recommendation,"The Committee on Transportation and Infrastructure, to whom was referred the bill (H.R. 3348) to direct the President to establish standards and criteria for the provision of major disaster and emergency assistance in response to snow-related events, having considered the same, report favorably thereon with an amendment and recommend that the bill as amended do pass."
