Collection,Congressional Reports
SuDoc Class Number,Y 1.1/8:
Publisher,U.S. Government Publishing Office
Report Type,House Report
Report Number,H. Rept. 104-814
Date,"September 20, 1996"
Associated Legislation,H.R. 4083
Committee,Committee on Commerce
Action,Committed to the Committee of the Whole House on the State of the Union and ordered to be printed
Recommendation,"The Committee on Commerce, to whom was referred the bill (H.R. 4083) to extend certain programs under the Energy Policy and Conservation Act through September 30, 1997, having considered the same, report favorably thereon without amendment and recommend that the bill do pass."
