Collection,Congressional Reports
SuDoc Class Number,Y 1.1/8:
Publisher,U.S. Government Publishing Office
Report Type,House Report
Report Subtype,Conference Report
Report Number,H. Rept. 104-737
Date,"August 1, 1996"
Associated Legislation,H.R. 3448
Action,Ordered to be printed
