Collection,Congressional Reports
SuDoc Class Number,Y 1.1/8:
Publisher,U.S. Government Publishing Office
Report Type,House Report
Report Number,H. Rept. 104-825
Date,"September 24, 1996"
Associated Legislation,H.R. 3568
Committee,Committee on Resources
Action,Committed to the Committee of the Whole House on the State of the Union and ordered to be printed
Recommendation,"The Committee on Resources, to whom was referred the bill (H.R. 3568) to designate 51.7 miles of the Clarion River, located in Pennsylvania, as a component of the National Wild and Scenic Rivers System, having considered the same, report favorably thereon without amendment and recommend that the bill do pass."
