Collection,Congressional Reports
SuDoc Class Number,Y 1.1/5:
Publisher,U.S. Government Publishing Office
Report Type,Senate Report
Report Number,S. Rept. 104-378
Date,"September 30, 1996"
Associated Legislation,S. 951
Committee,Committee on Energy and Natural Resources
Calendar,602
Action,Ordered to be printed
Recommendation,"The Committee on Energy and Natural Resources, to which was referred the bill (S. 951) to commemorate the service of First Ladies Jacqueline Kennedy and Patricia Nixon to improving and maintaining the Executive Residence of the President and to authorize grants to the White House Endowment Fund in their memory to continue their work, having considered the same, reports favorably thereon with an amendment and an amendment to the title and recommends that the bill as amended do pass."
