Collection,Congressional Reports
SuDoc Class Number,Y 1.1/8:
Publisher,U.S. Government Publishing Office
Report Type,House Report
Report Number,H. Rept. 104-800
Date,"September 17, 1996"
Associated Legislation,S. 677
Committee,Committee on the Judiciary
Action,Committed to the Committee of the Whole House on the State of the Union and ordered to be printed
Recommendation,"The Committee on the Judiciary, to whom was referred the Act (S. 677) to repeal a redundant venue provision, and for other purposes, having considered the same, report favorably thereon without amendment and recommend that the Act do pass."
