Collection,Congressional Reports
SuDoc Class Number,Y 1.1/8:
Publisher,U.S. Government Publishing Office
Report Type,House Report
Report Number,H. Rept. 104-760
Date,"September 4, 1996"
Associated Legislation,H.R. 3147
Committee,Committee on Resources
Action,Committed to the Committee of the Whole House on the State of the Union and ordered to be printed
Recommendation,"The Committee on Resources, to whom was referred the bill (H.R. 3147) to provide for the exchange of certain Federal lands in the State of California managed by the Bureau of Land Management for certain non-Federal lands, and for other purposes, having considered the same, report favorably thereon with an amendment and recommend that the bill as amended do pass."
