Collection,Congressional Reports
SuDoc Class Number,Y 1.1/6:
Publisher,U.S. Government Publishing Office
Report Type,Senate Executive Report
Report Number,Ex. Rept. 104-32
Date,"July 30, 1996"
Associated Legislation,Treaty Doc. 104-9
Committee,Committee on Foreign Relations
Action,Ordered to be printed
Recommendation,"The Committee on Foreign Relations to which was referred the Extradition Treaty between the Government of the United States of America and the Government of the Swiss Confederation, signed at Washington on November 14, 1990, having considered the same, reports favorably thereon with one proviso and recommends that the Senate give its advice and consent to the ratification thereof as set forth in this report and the accompanying resolution of ratification."
