Collection,Congressional Reports
SuDoc Class Number,Y 1.1/8:
Publisher,U.S. Government Publishing Office
Report Type,House Report
Report Number,"H. Rept. 104-820, Part 1"
Date,"September 24, 1996"
Associated Legislation,H.R. 3452
Committee,Committee on Government Reform and Oversight
Action,Ordered to be printed
Recommendation,"The Committee on Government Reform and Oversight, to whom was referred the bill (H.R. 3452) to make certain laws applicable to the Executive Office of the President, and for other purposes, having considered the same, report favorably thereon with an amendment and recommend that the bill as amended do pass."
