Collection,Congressional Reports
SuDoc Class Number,Y 1.1/5:
Publisher,U.S. Government Publishing Office
Report Type,Senate Report
Report Number,S. Rept. 104-355
Date,"August 27, 1996"
Associated Legislation,S. 1972
Committee,Committee on Indian Affairs
Calendar,569
Action,Ordered to be printed
Recommendation,"The Committee on Indian Affairs, to which was referred the bill (S. 1972) to amend the Older Americans Act of 1965 to improve the provisions relating to Indians, and for other purposes, having considered the same, reports favorably thereon without amendment and recommends that the bill do pass."
