Collection,Congressional Reports
SuDoc Class Number,Y 1.1/8:
Publisher,U.S. Government Publishing Office
Report Type,House Report
Report Number,"H. Rept. 104-827, Part 1"
Date,"September 24, 1996"
Associated Legislation,H.R. 2092
Committee,Committee on the Judiciary
Action,Ordered to be printed
Recommendation,"The Committee on the Judiciary, to whom was referred the bill (H.R. 2092) to expedite State reviews of criminal records of applicants for private security officer employment, and for other purposes, having considered the same, report favorably thereon with an amendment and recommend that the bill as amended do pass."
