Collection,Congressional Reports
SuDoc Class Number,Y 1.1/8:
Publisher,U.S. Government Publishing Office
Report Type,House Report
Report Number,"H. Rept. 104-819, Part 1"
Date,"September 24, 1996"
Associated Legislation,H.R. 1281
Committee,Committee on Government Reform and Oversight
Action,Ordered to be printed
Recommendation,"The Committee on Government Reform and Oversight, to whom was referred the bill (H.R. 1281) to amend title 5, United States Code, and the National Security Act of 1947 to require disclosure under the Freedom of Information Act of information regarding certain individuals who participated in Nazi war crimes during the period in which the United States was involved in World War II, having considered the same, report favorably thereon with amendments and recommend that the bill as amended do pass."
