Collection,Congressional Reports
SuDoc Class Number,Y 1.1/8:
Publisher,U.S. Government Publishing Office
Report Type,House Report
Report Subtype,Conference Report
Report Number,H. Rept. 104-863
Date,"September 28, 1996"
Associated Legislation,H.R. 3610
Action,Ordered to be printed
