Collection,Congressional Reports
SuDoc Class Number,Y 1.1/5:
Publisher,U.S. Government Publishing Office
Report Type,Senate Report
Report Number,S. Rept. 104-359
Date,"August 27, 1996"
Associated Legislation,S. 1556
Committee,Committee on Judiciary
Calendar,546
Action,Ordered to be printed
Recommendation,"The Committee on the Judiciary, to which was referred the bill (S. 1556) to amend provisions of title 18, United States Code, with respect to the prohibition of industrial espionage, and for other purposes, having considered the same, reports favorably thereon, with an amendment in the nature of a substitute, and recommends that the bill, as amended, do pass."
