Collection,Congressional Reports
SuDoc Class Number,Y 1.1/5:
Publisher,U.S. Government Publishing Office
Report Type,Senate Report
Report Number,S. Rept. 104-339
Date,"July 30, 1996"
Associated Legislation,S. 1130
Committee,Committee on Governmental Affairs
Calendar,548
Action,Ordered to be printed
Recommendation,"The Committee on Governmental Affairs, to which was referred the bill (S. 1130) to provide for the establishment of uniform accounting systems, standards, and reporting systems in the Federal government, and for other purposes, having considered the same, reports favorably thereon with an amendment and recommends that the bill, as amended, do pass."
