Collection,Congressional Reports
SuDoc Class Number,Y 1.1/8:
Publisher,U.S. Government Publishing Office
Report Type,House Report
Report Number,"H. Rept. 104-840, Part 1"
Date,"September 25, 1996"
Associated Legislation,H.R. 2561
Committee,Committee on Resources
Action,Ordered to be printed
Recommendation,"The Committee on Resources, to whom was referred the bill (H.R. 2561) to provide for an exchange of lands located near Gustavus, Alaska, having considered the same, report favorably thereon with an amendment and recommend that the bill as amended do pass."
