Collection,Congressional Reports
SuDoc Class Number,Y 1.1/5:
Publisher,U.S. Government Publishing Office
Report Type,Senate Report
Report Number,S. Rept. 104-375
Date,"September 30, 1996"
Associated Legislation,S. 608
Committee,Committee on Energy and Natural Resources
Calendar,599
Action,Ordered to be printed
Recommendation,"The Committee on Energy and Natural Resources, to which was referred the bill (S. 608) to establish the New Bedford Whaling National Historical Park in New Bedford, Massachusetts, and for other purposes, having considered the same, reports favorably thereon with amendments and recommends that the bill, as amended, do pass."
