Collection,Congressional Reports
SuDoc Class Number,Y 1.1/6:
Publisher,U.S. Government Publishing Office
Report Type,Senate Executive Report
Report Number,Ex. Rept. 104-25
Date,"July 30, 1996"
Associated Legislation,Treaty Doc. 104-20
Committee,Committee on Foreign Relations
Action,Ordered to be printed
Recommendation,"The Committee on Foreign Relations to which was referred the Treaty Between the Government of the United States of America and the Government of the Republic of Hungary on Mutual Legal Assistance in Criminal Matters, signed at Budapest on December 1, 1994, having considered the same, reports favorably thereon with two provisos, and recommends that the Senate give its advice and consent to the ratification thereof as set forth in this report and the accompanying resolution of ratification."
