Collection,Congressional Reports
SuDoc Class Number,Y 1.1/8:
Publisher,U.S. Government Publishing Office
Report Type,House Report
Report Number,H. Rept. 104-791
Date,"September 17, 1996"
Associated Legislation,H.R. 3153
Committee,Committee on Transportation and Infrastructure
Action,Committed to the Committee of the Whole House on the State of the Union and ordered to be printed
Recommendation,"The Committee on Transportation and Infrastructure, to whom was referred the bill (H.R. 3153) to amend title 49, United States Code, to exempt from regulation the transportation of certain hazardous materials by vehicles with a gross vehicle weight rating of 10,000 pounds or less, having considered the same, report favorably thereon with amendments and recommend that the bill as amended do pass."
