Collection,Congressional Reports
SuDoc Class Number,Y 1.1/8:
Publisher,U.S. Government Publishing Office
Report Type,House Report
Report Number,H. Rept. 104-835
Date,"September 24, 1996"
Associated Legislation,H.R. 3752
Committee,Committee on Resources
Action,Committed to the Committee of the Whole House on the State of the Union and ordered to be printed
Recommendation,"The Committee on Resources, to whom was referred the bill (H.R. 3752) to preserve the sovereignty of the United States over public lands and acquired lands owned by the United States, and to preserve State sovereignty and private property rights in non-Federal lands surrounding those public lands and acquired lands, having considered the same, report favorably thereon with an amendment and recommend that the bill as amended do pass."
