Collection,Congressional Reports
SuDoc Class Number,Y 1.1/8:
Publisher,U.S. Government Publishing Office
Report Type,House Report
Report Number,H. Rept. 104-767
Date,"September 4, 1996"
Associated Legislation,H.R. 3642
Committee,Committee on Resources
Action,Committed to the Committee of the Whole House on the State of the Union and ordered to be printed
Recommendation,"The Committee on Resources, to whom was referred the bill (H.R. 3642) to provide for the transfer of public lands to certain California Indian Tribes, having considered the same, report favorably thereon without amendment and recommend that the bill do pass."
