Collection,Congressional Reports
SuDoc Class Number,Y 1.1/8:
Publisher,U.S. Government Publishing Office
Report Type,House Report
Report Number,H. Rept. 104-856
Date,"September 27, 1996"
Associated Legislation,H.R. 4067
Committee,Committee on Resources
Action,Committed to the Committee of the Whole House on the State of the Union and ordered to be printed
Recommendation,"The Committee on Resources, to whom was referred the bill (H.R. 4067) to provide for representation of the Northern Mariana Islands by a nonvoting Delegate in the House of Representatives, having considered the same, report favorably thereon with an amendment and recommend that the bill as amended do pass."
