Collection,Congressional Reports
SuDoc Class Number,Y 1.1/8:
Publisher,U.S. Government Publishing Office
Report Type,House Report
Report Number,H. Rept. 104-779
Date,"September 9, 1996"
Associated Legislation,H.R. 2693
Committee,Committee on Resources
Action,Committed to the Committee of the Whole House on the State of the Union and ordered to be printed
Recommendation,"The Committee on Resources, to whom was referred the bill (H.R. 2693) to require the Secretary of Agriculture to make a minor adjustment in the exterior boundary of the Hells Canyon Wilderness in the States of Oregon and Idaho to exclude an established Forest Service road inadvertently included in the wilderness, having considered the same, report favorably thereon without amendment and recommend that the bill do pass."
