Collection,Congressional Reports
SuDoc Class Number,Y 1.1/5:
Publisher,U.S. Government Publishing Office
Report Type,Senate Report
Report Number,S. Rept. 104-382
Date,"September 30, 1996"
Associated Legislation,S. 1706
Committee,Committee on Energy and Natural Resources
Calendar,606
Action,Ordered to be printed
Recommendation,"The Committee on Energy and Natural Resources, to which was referred the bill (S. 1706) to increase the amount authorized to be appropriated for assistance for highway relocation with respect to the Chickamauga and Chattanooga National Military Park in Georgia, and for other purposes, having considered the same, reports favorably thereon without amendment and recommends that the bill do pass."
