Collection,Congressional Reports
SuDoc Class Number,Y 1.1/5:
Publisher,U.S. Government Publishing Office
Report Type,Senate Report
Report Number,S. Rept. 104-351
Date,"August 2, 1996"
Associated Legislation,H.R. 1271
Committee,Committee on Governmental Affairs
Calendar,565
Action,Ordered to be printed
Recommendation,"The Committee on Governmental Affairs, to which was referred the act to provide protection for family privacy, having considered the same, reports favorably thereon without amendment and recommends that the bill do pass."
