Collection,Congressional Reports
SuDoc Class Number,Y 1.1/5:
Publisher,U.S. Government Publishing Office
Report Type,Senate Report
Report Number,S. Rept. 104-349
Date,"August 1, 1996"
Associated Legislation,S. 199
Committee,Committee on Indian Affairs
Calendar,559
Action,Ordered to be printed
Recommendation,"The Committee on Indian Affairs, to which was referred the bill (S. 199) to repeal certain provisions of law relating to trading with Indians, having considered the same, reports favorably thereon without amendment and recommends that the bill do pass."
