Collection,Congressional Reports
SuDoc Class Number,Y 1.1/5:
Publisher,U.S. Government Publishing Office
Report Type,Senate Report
Report Number,S. Rept. 104-341
Date,"July 31, 1996"
Associated Legislation,S. 1735
Committee,"Committee on Commerce, Science, and Transportation"
Calendar,551
Action,Ordered to be printed
Recommendation,"The Committee on Commerce, Science, and Transportation, to which was referred the bill (S. 1735) ``A Bill to establish the United States Tourism Organization as a nongovernmental entity for the purpose of promoting tourism in the United States'', having considered the same, reports favorably thereon with amendments and recommends that the bill, as amended, do pass."
