Collection,Congressional Reports
SuDoc Class Number,Y 1.1/5:
Publisher,U.S. Government Publishing Office
Report Type,Senate Report
Report Number,S. Rept. 104-388
Date,"September 30, 1996"
Associated Legislation,S. 2015
Committee,Committee on Energy and Natural Resources
Calendar,611
Action,Ordered to be printed
Recommendation,"The Committee on Energy and Natural Resources, to which was referred the bill (S. 2015) to convey certain real property located within the Carlsbad Project in New Mexico to the Carlsbad Irrigation District, having considered the same, reports favorably thereon without amendment and recommends that the bill do pass."
