Collection,Congressional Reports
SuDoc Class Number,Y 1.1/8:
Publisher,U.S. Government Publishing Office
Report Type,House Report
Report Number,H. Rept. 104-806
Date,"September 17, 1996"
Associated Legislation,H.R. 4000
Committee,Committee on National Security
Action,Ordered to be printed
Recommendation,"The Committee on National Security, to whom was referred the bill (H.R. 4000) to amend title 10, United States Code, to restore the provisions of chapter 76 of that title (relating to missing persons) as in effect before the amendments made by the National Defense Authorization Act for Fiscal Year 1997, having considered the same, report favorably thereon with an amendment and recommend that the bill as amended do pass."
