Collection,Congressional Reports
SuDoc Class Number,Y 1.1/5:
Publisher,U.S. Government Publishing Office
Report Type,Senate Report
Report Number,S. Rept. 104-348
Date,"August 1, 1996"
Associated Legislation,H.R. 2464
Committee,Committee on Indian Affairs
Calendar,558
Action,Ordered to be printed
Recommendation,"The Committee on Indian Affairs, to which was referred the bill (H.R. 2464) Addition of Lands to the Goshute Indian Reservation, having considered the same, reports favorably thereon without amendment and recommends that the bill do pass."
