Collection,Congressional Reports
SuDoc Class Number,Y 1.1/5:
Publisher,U.S. Government Publishing Office
Report Type,Senate Report
Report Number,S. Rept. 104-397
Date,"October 2, 1996"
Associated Legislation,S. 1889
Committee,Committee on Energy and Natural Resources
Calendar,593
Action,Ordered to be printed
Recommendation,"The Committee on Energy and Natural Resources, to which was referred the bill (S. 1889) to authorize the exchange of certain lands conveyed to the Kenai Natives Association pursuant to the Alaska Native Claims Settlement Act, to make adjustments to the National Wilderness System, and for other purposes, having considered the same, reports favorably thereon with an amendment and recommends that the bill, as amended, do pass."
