Collection,Congressional Reports
SuDoc Class Number,Y 1.1/5:
Publisher,U.S. Government Publishing Office
Report Type,Senate Report
Report Number,S. Rept. 104-384
Date,"September 30, 1996"
Associated Legislation,S. 1809
Committee,Committee on Energy and Natural Resources
Calendar,607
Action,Ordered to be printed
Recommendation,"The Committee on Energy and Natural Resources, to which was referred the bill (S. 1809) entitled ``Aleutian World War II National Historic Areas Act of 1996'', having considered the same, reports favorably thereon without amendment and recommends that the bill do pass."
