Collection,Congressional Reports
SuDoc Class Number,Y 1.1/6:
Publisher,U.S. Government Publishing Office
Report Type,Senate Executive Report
Report Number,Ex. Rept. 104-28
Date,"July 30, 1996"
Associated Legislation,Treaty Doc. 104-7Treaty Doc. 104-8
Committee,Committee on Foreign Relations
Action,Ordered to be printed
Recommendation,"The Committee on Foreign Relations to which was referred the Extradition Treaty Between the United States of America and the Kingdom of Belgium signed at Brussels on April 27, 1987 and the Supplementary Treaty on Extradition Between the United States of America and the Kingdom of Belgium to Promote the Repression of Terrorism, signed at Brussels on April 27, 1987, having considered the same, reports favorably thereon with one proviso to each treaty and recommends that the Senate give its advice and consent to the ratification thereof as set forth in this report and the accompanying resolutions of ratification."
