Collection,Congressional Reports
SuDoc Class Number,Y 1.1/8:
Publisher,U.S. Government Publishing Office
Report Type,House Report
Report Number,H. Rept. 104-871
Date,"December 20, 1996"
Committee,Committee on Transportation and Infrastructure
Calendar,474
Action,Committed to the Committee of the Whole House on the State of the Union and ordered to be printed
