Collection,Congressional Reports
SuDoc Class Number,Y 1.1/8:
Publisher,U.S. Government Publishing Office
Report Type,House Report
Report Number,H. Rept. 104-759
Date,"September 4, 1996"
Associated Legislation,H.R. 3547
Committee,Committee on Resources
Action,Committed to the Committee of the Whole House on the State of the Union and ordered to be printed
Recommendation,"The Committee on Resources, to whom was referred the bill (H.R. 3547) to provide for the conveyance of a parcel of real property in the Apache National Forest in the State of Arizona to the Alpine Elementary School District 7 to be used for the construction of school facilities and related playing fields, having considered the same, report favorably thereon with an amendment and recommend that the bill as amended do pass."
