Collection,Congressional Reports
SuDoc Class Number,Y 1.1/8:
Publisher,U.S. Government Publishing Office
Report Type,House Report
Report Number,H. Rept. 104-851
Date,"September 26, 1996"
Associated Legislation,H. Res. 540
Committee,Committee on Rules
Action,Referred to the House Calendar and ordered to be printed
Recommendation,"The Committee on Rules, having had under consideration House Resolution 540, by a record vote of 9 to 3, report the same to the House with the recommendation that the resolution be adopted."
