Collection,Congressional Reports
SuDoc Class Number,Y 1.1/5:
Publisher,U.S. Government Publishing Office
Report Type,Senate Report
Report Number,S. Rept. 104-369
Date,"September 16, 1996"
Associated Legislation,S. 1952
Committee,Committee on Judiciary
Calendar,557
Action,Ordered to be printed
Recommendation,"The Committee on the Judiciary, to which was referred the bill (S. 1952) to amend the Juvenile Justice and Delinquency Prevention Act of 1974, having considered the same, reports favorably thereon, and recommends that the bill do pass."
