Collection,Congressional Reports
SuDoc Class Number,Y 1.1/8:
Publisher,U.S. Government Publishing Office
Report Type,House Report
Report Number,"H. Rept. 104-839, Part 1"
Date,"September 25, 1996"
Associated Legislation,H.R. 2579
Committee,Committee on Commerce
Action,Committed to the Committee of the Whole House on the State of the Union and ordered to be printed
Recommendation,"The Committee on Commerce, to whom was referred the bill (H.R. 2579) to establish the National Tourism Board and the National Tourism Organization to promote international travel and tourism to the United States, having considered the same, report favorably thereon with an amendment and recommend that the bill as amended do pass."
